"","x"
"1","Everyone please watch this video from Save the Children US for #WorldRefugeeDay
If you would like to do more to help refugee children, go here http://www.savethechildren.org/cr7"
"2","Let's go to Moscow <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>"
"3",NA
"4","New boots. Same goal. <ed><U+00A0><U+00BC><ed><U+00BF><U+0086><ed><U+00A0><U+00BD><ed><U+00B4><U+009D><ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00B9>
#Mercurial #Portugal #CR7 #Nike #Football #Soccer"
"5","<ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00B9>"
"6","Excited with my second reveal with #Egyptian_Steel in partnership with Ahmed Abou Hashima ... State of the art steel plants building the future... <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>"
"7","O mundo é a minha casa.
Com o Smart Home do MEO posso controlar a minha casa a partir de qualquer parte do mundo."
"8","Proud to represent the National Team
<ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00B9><ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00B9><ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00B9><ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00B9><ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00B9><ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00B9><ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00B9><ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00B9><ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00B9><ed><U+00A0><U+00BD><ed><U+00B8><U+0098>"
"9","Bons momentos na companhia de verdadeiros campeões!#terradossonhos Terra dos Sonhos"
"10","Excited…tomorrow is #WorldBloodDonorDay! Be 'also' the one<U+261D><U+FE0F> ! #BETHE1Donor #WorldBloodDonorDay"
"11","It isn’t the first time, and hopefully won’t be the last. My homeland, Madeira, is once again nominated for Europe’s Leading Island Destination. I’ve already voted, and you?
 
Vote here: http://bit.ly/2oqWvqd
Visit Madeira
#madeiraisland #wta #bestisland #visitmadeira"
"12","Just relax and enjoy the view<ed><U+00A0><U+00BC><ed><U+00BF><U+00A1><ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"13","Your body is like a race car !! You need to fuel it right to keep performing at your best! #TrueToYourStory #sponsored"
"14","It’s a hard play when you have to choose your side! 
Which one would you choose: Pestana CR7 or Pestana CR7 Lisboa?  

#PestanaCR7 #PestanaCR7Funchal #PestanaCR7Lisboa #TimeToWin 
Book Now <U+25BA> goo.gl/fc6X3o"
"15","Happy to be back home<U+2764><U+FE0F><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F>"
"16","Gracias aficionados <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>"
"17","FIFA 18. It's my time."
"18","Simmmmmmm<ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"19","#JustDoIt"
"20","4 times in the row <ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"21","Champions. <U+26BD><U+FE0F><U+26BD><U+FE0F><U+26BD><U+FE0F><U+26BD><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B8><U+0098><U+2764><U+FE0F><U+FE0F>"
"22","Pick your skill level. Master it. Do it again. <ed><U+00A0><U+00BD><ed><U+00B4><U+009D><U+26BD><ed><U+00A0><U+00BD><ed><U+00B4><U+009D>"
"23","2days"
"24","CR7 Denim <ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"25","Always put on my CR Legacy fragrances before going out! <ed><U+00A0><U+00BD><ed><U+00B1><U+008C>
Get your own here www.cristianoronaldofragrances.com #CRFragrances"
"26","Drinking my tea and reading my book<ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B8><U+0098>"
"27","It’s about the effort you put in off the field that makes the difference. Smart work <U+2714> + dedicated nutrition <U+2714>= <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B9><U+0082><U+26BD> Herbalife #TrueToYourStory #ad"
"28","Very excited to introduce the first reveal of my campaign with #Egyptian_Steel and glad to partner with #ahmed_abouhashima in such an amazing project… Stay tuned for the second reveal!"
"29","Are you ready to play? Pestana CR7 Lisboa | Pestana CR7 #PestanaCR7Lisboa #PestanaCR7 #TimeToWin | Book Now <U+25BA> goo.gl/JMGYJW"
"30","From sprinting techniques to juggling, athletes can always learn new skills from each other! Can you juggle like me? Herbalife #TrueToYourStory #sponsored"
"31","So sad to hear the news from Manchester. My thoughts are with the families and friends of the victims. #PrayForManchester"
"32","Champions <ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00B9><ed><U+00A0><U+00BC><ed><U+00B7><U+00AA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>simmmmmmmmmm"
"33","Throwback to my Cristiano Ronaldo Legacy fragrance shoot! <ed><U+00A0><U+00BD><ed><U+00B3><U+00B8>Check out more pictures here www.cristianoronaldofragrances.com #CRFragrances"
"34","#TBT to the <U+FB01>rst time I took my @cr7limitless jeans for a spin. <ed><U+00A0><U+00BD><ed><U+00BA><U+00B4><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B1><U+0096>CR7.com"
"35","<ed><U+00A0><U+00BD><ed><U+00B8><U+0081>"
"36","Well done boys<ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B1><U+008D>"
"37","We already had 250 000 visitors in my Museu CR7 !! Thank you all!<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"38","Thumbs up for Nubia Thailand Flagship Store grand opening and good luck on the Thailand Mobile Expo 2017. Friends in Thailand, welcome to check out the new nubia M2 and Z17mini there. nubia Smartphone Thailand www.nubia.com/th"
"39","<ed><U+00A0><U+00BD><ed><U+00B1><U+008D>"
"40","<U+26BD><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"41","<ed><U+00A0><U+00BD><ed><U+00B1><U+008C><U+26BD><U+FE0F><U+26BD><U+FE0F><U+26BD><U+FE0F><U+26BD><U+FE0F>"
"42","Good night <U+2764><U+FE0F><U+2764><U+FE0F><U+FE0F>"
"43","VAMOS EQUIPO<ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B1><U+008D>"
"44","<ed><U+00A0><U+00BD><ed><U+00B1><U+008C><U+26BD><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B1><U+008D>"
"45","Selfie time<U+2600><U+FE0F><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B9><U+008F>"
"46","The amazing Porto Santo, a place I won't bother to be right now!!

#portosanto #goldenisland #beach #sea #paradise #madeiraislands"
"47","Love you<U+2764><U+FE0F>
#happymothersday"
"48",NA
"49","So proud of my boy<U+2764><U+FE0F><U+FE0F><U+2764><U+FE0F><U+FE0F><U+2764><U+FE0F><U+FE0F> hat trick<ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B9><U+008F>"
"50","A new project is coming soon… stay tuned!"
"51","<ed><U+00A0><U+00BD><ed><U+00B1><U+008D>"
"52","Together<ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>"
"53","UCL<ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B1><U+008D>"
"54","Vamossssssssss<ed><U+00A0><U+00BD><ed><U+00B1><U+008D>well done boys<ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"55","The flower show is coming, 4th to 21st May! Do you need any more reasons to stay in the best spot in Madeira? @Pestanacr7funchal @PestanaCR7 | #PestanaCR7Funchal #PestanaCR7 #TimeToWin | Book Now <U+25BA> goo.gl/LfWWGv"
"56","Feeling the love from around the world on CR7 Denim. It means a lot! Remember to sign up at CR7.com and follow CR7 Limitless"
"57","It's always a pleasure to meet nice people! God bless you and your family<ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><U+2764><U+FE0F><U+FE0F>"
"58","So excited to finally announce CR7 Denim is almost here and launching on 1st June. Head to CR7.com and follow CR7 Limitless to be the first to know more."
"59","<ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"60","Big announcement coming @CR7Limitless. Any ideas?"
"61","From Manchester to Madrid, scoring <ed><U+00A0><U+00BD><ed><U+00B2><U+00AF><U+26BD> #Mercurial available on Nike.Com/CR7"
"62","<ed><U+00A0><U+00BD><ed><U+00B1><U+008D>"
"63","Another night to remember. Amazing win!! Great team work! <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B4><U+009D>"
"64","O MEO contou a minha história com a tecnologia de hoje.
#oMundoÉaTuaCasa"
"65","Ganadores <ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"66","Wearing my Private Edition fragrance today and feeling sexy! 
Check it out at www.cristianoronaldofragrances.com"
"67","Feliz, por haber logrado el récord con la camiseta de este club. 
Hala Madrid! <ed><U+00A0><U+00BD><ed><U+00B2><U+00AF><ed><U+00A0><U+00BD><ed><U+00B1><U+008D>"
"68","Os primeiros 100 já estão !!!!"
